D,fcy,Ac,As,αsc,Nu0,C,Ns,Vs,Vc,N
179.0,23.928226,22167.0777637296,2997.86478968806,0.135239512471655,1275.38977863649,562.345084992573,744.970932146391,1079231.3242877,7980147.99494265,1814.2302552982
179.0,43.6395925,22167.0777637296,2997.86478968806,0.135239512471655,1712.33317267136,562.345084992573,744.970932146391,1079231.3242877,7980147.99494265,2039.78320595689
179.0,43.6395925,22167.0777637296,2997.86478968806,0.135239512471655,1712.33317267136,562.345084992573,744.970932146391,1079231.3242877,7980147.99494265,2029.97655592825
174.0,23.928226,22167.0777637296,1611.63703129156,0.0727040816326531,959.043945633962,546.637121724624,428.625099143866,580189.331264963,7980147.99494265,1314.09110383761
174.0,23.928226,22167.0777637296,1611.63703129156,0.0727040816326531,959.043945633962,546.637121724624,428.625099143866,580189.331264963,7980147.99494265,1304.28445380897
174.0,45.698989,22167.0777637296,1611.63703129156,0.0727040816326531,1441.63814203069,546.637121724624,428.625099143866,580189.331264963,7980147.99494265,1608.29060469678
174.0,45.698989,22167.0777637296,1611.63703129156,0.0727040816326531,1441.63814203069,546.637121724624,428.625099143866,580189.331264963,7980147.99494265,1676.93715489725
630.0,36.0,298024.045490142,13700.4855623051,0.0459710743801653,14721.1871305008,1979.20337176157,3992.3214928557,25893917.7127566,563265445.976369,16650.0
630.0,35.0,296844.729621256,14879.8014311916,0.0501265474720629,15590.0561369454,1979.20337176157,5200.49060020145,28122824.704952,561036538.984173,18000.0
630.0,34.5,295243.841549228,16480.6895032189,0.055820603799016,15954.153859575,1979.20337176157,5768.24132612662,31148503.1610838,558010860.528041,18600.0
630.0,38.4,291844.357125502,19880.1739269455,0.068119096503197,17634.0835442008,1979.20337176157,6427.26023058149,37573528.7219271,551585834.967198,20500.0
630.0,46.0,289188.50464748,22536.0264049672,0.0779285000710474,21127.1795815887,1979.20337176157,7824.50836780463,42593089.9053881,546566273.783737,24400.0
720.0,15.0,388592.67452529,18557.7333799468,0.0477562614957094,11618.9029324228,2261.94671058465,5790.01281454342,40084704.1006852,839360176.974627,15000.0
820.0,45.0,505347.624695269,22754.1003731755,0.0450266297123618,30272.2503348082,2576.10597594363,7531.60722352108,55975086.9180116,1243155156.75036,33600.0
1020.0,16.9,786529.543903148,30598.7052955567,0.0389034404781679,23573.5142712703,3204.42450666159,10281.164979307,93632038.2044035,2406780404.34363,30000.0
1020.0,28.9,775221.170345685,41907.0788530202,0.0540582229382785,37855.0317960988,3204.42450666159,15451.1399731086,128235661.290242,2372176781.2578,46000.0
114.0,33.2,8659.01475145687,1548.01978005637,0.178775510204082,706.992650143645,358.141562509236,419.513360395277,705897.019705705,3948510.72666433,1033.0
